timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1653499324159,129,HTTP Request,200,OK,Thread Group 1-79,text,true,,11229,118,120,120,http://192.168.100.4/,129,0,9
1653499324288,6,HTTP Request,200,OK,Thread Group 1-79,text,true,,11228,118,123,123,http://192.168.100.4/,2,0,0
1653499324259,41,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.4:80 failed to respond,Thread Group 1-16,text,false,,2082,0,124,124,http://192.168.100.4/,0,0,0
1653499324259,41,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.4:80 failed to respond,Thread Group 1-53,text,false,,2082,0,124,124,http://192.168.100.4/,0,0,0
1653499324257,45,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.4:80 failed to respond,Thread Group 1-3,text,false,,2082,0,125,125,http://192.168.100.4/,0,0,0
1653499324257,45,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.4:80 failed to respond,Thread Group 1-56,text,false,,2082,0,125,125,http://192.168.100.4/,0,0,0
1653499324256,47,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.4:80 failed to respond,Thread Group 1-12,text,false,,2082,0,125,125,http://192.168.100.4/,0,0,0
1653499324256,48,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.4:80 failed to respond,Thread Group 1-28,text,false,,2082,0,126,126,http://192.168.100.4/,0,0,0
1653499324249,57,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.4:80 failed to respond,Thread Group 1-43,text,false,,2082,0,128,128,http://192.168.100.4/,0,0,0
1653499324185,127,HTTP Request,200,OK,Thread Group 1-33,text,true,,11228,118,127,127,http://192.168.100.4/,127,0,0
1653499324185,127,HTTP Request,200,OK,Thread Group 1-61,text,true,,11228,118,127,127,http://192.168.100.4/,127,0,0
1653499324184,128,HTTP Request,200,OK,Thread Group 1-63,text,true,,11228,118,127,127,http://192.168.100.4/,128,0,0
1653499324185,127,HTTP Request,200,OK,Thread Group 1-31,text,true,,11228,118,127,127,http://192.168.100.4/,127,0,0
1653499324185,127,HTTP Request,200,OK,Thread Group 1-4,text,true,,11228,118,127,127,http://192.168.100.4/,127,0,0
1653499324184,128,HTTP Request,200,OK,Thread Group 1-17,text,true,,11228,118,127,127,http://192.168.100.4/,128,0,0
1653499324185,127,HTTP Request,200,OK,Thread Group 1-6,text,true,,11228,118,127,127,http://192.168.100.4/,127,0,0
1653499324184,128,HTTP Request,200,OK,Thread Group 1-40,text,true,,11228,118,127,127,http://192.168.100.4/,122,0,0
1653499324186,127,HTTP Request,200,OK,Thread Group 1-62,text,true,,11228,118,127,127,http://192.168.100.4/,126,0,0
1653499324255,58,HTTP Request,200,OK,Thread Group 1-23,text,true,,11228,118,127,127,http://192.168.100.4/,50,0,0
1653499324255,58,HTTP Request,200,OK,Thread Group 1-14,text,true,,11228,118,127,127,http://192.168.100.4/,50,0,0
1653499324184,129,HTTP Request,200,OK,Thread Group 1-51,text,true,,11228,118,127,127,http://192.168.100.4/,129,0,0
1653499324184,129,HTTP Request,200,OK,Thread Group 1-71,text,true,,11228,118,127,127,http://192.168.100.4/,129,0,0
1653499324253,60,HTTP Request,200,OK,Thread Group 1-8,text,true,,11228,118,127,127,http://192.168.100.4/,52,0,0
1653499324251,62,HTTP Request,200,OK,Thread Group 1-48,text,true,,11228,118,128,128,http://192.168.100.4/,53,0,0
1653499324114,200,HTTP Request,200,OK,Thread Group 1-64,text,true,,11229,118,128,128,http://192.168.100.4/,186,0,26
1653499324189,125,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.4:80 failed to respond,Thread Group 1-24,text,false,,2082,0,128,128,http://192.168.100.4/,0,0,0
1653499324248,66,HTTP Request,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: 192.168.100.4:80 failed to respond,Thread Group 1-76,text,false,,2082,0,128,128,http://192.168.100.4/,0,0,0
1653499324184,130,HTTP Request,200,OK,Thread Group 1-60,text,true,,11228,118,128,128,http://192.168.100.4/,130,0,0
